item,serial_number,Model,appraisal_value,item_description,category,remarks
Phased,3665169739,Synergistic,19939,id massa id nisl venenatis lacinia aenean sit amet justo morbi,1,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
secured line,2664731408,project,21264,nunc proin at turpis a pede posuere nonummy integer non velit,1,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo
Profound,7847532913,demand-driven,14580,nec dui luctus rutrum nulla tellus in sagittis dui vel nisl,4,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus
flexibility,5028718911,Graphic Interface,47782,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,4,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed
scalable,4116640352,Self-enabling,1840,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim,4,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus
3rd generation,6589900620,Sharable,43068,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam,4,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia
Advanced,4914742888,system engine,16030,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi,2,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit
Triple-buffered,6029156896,Open-source,42973,in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,1,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris
Progressive,1604814640,system-worthy,42078,congue eget semper rutrum nulla nunc purus phasellus in felis,4,orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum
Synergistic,8838161240,service-desk,1324,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor,4,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in
asymmetric,9835006164,alliance,3858,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat,2,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar
heuristic,4708500416,Organic,35650,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,2,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est
extranet,6134473235,service-desk,41598,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non,5,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a
Streamlined,8019740554,function,16947,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,3,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a
utilisation,3647565156,Fully-configurable,8546,in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,4,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui
Synergistic,4287555252,zero administration,28389,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem,2,in porttitor pede justo eu massa donec dapibus duis at velit eu
discrete,0999114085,synergy,37311,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet,3,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem
Networked,6672006397,optimal,2327,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,3,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est
cohesive,8083749222,maximized,6116,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,4,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa
Visionary,8308845355,multimedia,45645,turpis enim blandit mi in porttitor pede justo eu massa donec,2,sem duis aliquam convallis nunc proin at turpis a pede posuere
Graphic Interface,8587589202,help-desk,26348,primis in faucibus orci luctus et ultrices posuere cubilia curae duis,1,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices
encompassing,4466802378,knowledge user,30774,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare,4,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta
contextually-based,0620592982,Ameliorated,6398,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,1,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante
Innovative,3302918194,Decentralized,31185,condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras,1,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed
Distributed,1377757420,Pre-emptive,40511,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,1,est et tempus semper est quam pharetra magna ac consequat metus sapien
Inverse,6127645549,Enhanced,28143,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,1,in consequat ut nulla sed accumsan felis ut at dolor quis
open system,8947587311,product,4620,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in,3,lectus pellentesque at nulla suspendisse potenti cras in purus eu
Phased,0874723191,archive,28637,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo,1,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi
Ameliorated,6337080440,Future-proofed,4891,lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a,2,volutpat quam pede lobortis ligula sit amet eleifend pede libero
Face to face,0742883191,impactful,34772,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,5,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat
exuding,0688654401,even-keeled,28969,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue,5,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend
Function-based,6869108382,Quality-focused,18091,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,5,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et
global,8664209626,benchmark,33137,sed magna at nunc commodo placerat praesent blandit nam nulla integer,2,rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed
next generation,0170992438,fault-tolerant,26535,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus,5,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum
open system,8074063704,national,39917,et tempus semper est quam pharetra magna ac consequat metus sapien ut,3,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer
composite,7829026394,utilisation,11130,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim,3,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem
instruction set,0208809996,tertiary,4670,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,2,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus
Self-enabling,8400271289,foreground,4404,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat,5,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in
frame,1228605688,forecast,38687,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,1,mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum
stable,5212613353,local area network,20704,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,4,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget
synergy,5945990582,homogeneous,40843,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus,4,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis
Upgradable,0390616427,website,31956,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,1,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas
zero administration,5901022211,bandwidth-monitored,47042,praesent id massa id nisl venenatis lacinia aenean sit amet justo,5,in faucibus orci luctus et ultrices posuere cubilia curae mauris
parallelism,8952530322,Synchronised,16240,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,2,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum
Automated,8174864946,Implemented,11728,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in,1,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et
object-oriented,4636628993,model,7328,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,5,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem
circuit,2305596456,interface,31894,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue,2,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt
tangible,5733359854,capability,39260,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum,1,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer
Extended,2806141230,Open-architected,30071,dui proin leo odio porttitor id consequat in consequat ut nulla,5,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio
Multi-tiered,7877296045,bottom-line,9642,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,4,consequat lectus in est risus auctor sed tristique in tempus
Graphic Interface,4166762303,bi-directional,35549,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non,4,lectus pellentesque at nulla suspendisse potenti cras in purus eu
Distributed,9663311258,tangible,5659,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient,5,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit
Sharable,8945230955,coherent,44073,donec quis orci eget orci vehicula condimentum curabitur in libero,4,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla
migration,8309193521,paradigm,32354,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,5,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed
budgetary management,9955006951,optimizing,43787,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,5,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel
leverage,8313802057,synergy,13504,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,4,vestibulum ante ipsum primis in faucibus orci luctus et ultrices
portal,6357420158,Open-source,42982,id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo,3,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus
Adaptive,7369266737,Automated,46259,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula,3,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet
bi-directional,0628136250,non-volatile,22869,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet,4,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in
Programmable,4535045526,Open-source,41330,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,3,nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget
Versatile,3739460709,systemic,28628,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,4,metus vitae ipsum aliquam non mauris morbi non lectus aliquam
Cross-platform,1643992511,3rd generation,16752,in lacus curabitur at ipsum ac tellus semper interdum mauris,3,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum
policy,3515220011,implementation,26660,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac,1,primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan
adapter,7288483592,tertiary,17075,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis,3,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis
Graphic Interface,8641613242,4th generation,8551,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,3,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras
disintermediate,4577749653,Enhanced,13331,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,3,at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec
intermediate,1555825478,instruction set,12408,integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,1,volutpat dui maecenas tristique est et tempus semper est quam
Public-key,0397430043,fault-tolerant,23699,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,4,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec
task-force,6400081852,tertiary,20115,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,3,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam
Monitored,8670664747,zero administration,22271,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,4,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam
infrastructure,9349005468,multi-state,18923,dolor morbi vel lectus in quam fringilla rhoncus mauris enim,3,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id
success,1716955033,motivating,17223,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,2,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies
hardware,5632428656,human-resource,47334,ultrices vel augue vestibulum ante ipsum primis in faucibus orci,3,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut
4th generation,2775379850,heuristic,26420,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,2,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus
bi-directional,8662474594,Digitized,35048,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas,3,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices
system-worthy,2232857794,zero administration,48080,vivamus in felis eu sapien cursus vestibulum proin eu mi,4,ipsum primis in faucibus orci luctus et ultrices posuere cubilia
system engine,9522496243,optimizing,16496,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,5,sapien a libero nam dui proin leo odio porttitor id
bottom-line,0959709894,Inverse,25325,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris,1,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
conglomeration,0992873355,product,14432,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis,3,libero ut massa volutpat convallis morbi odio odio elementum eu
well-modulated,0423842757,intranet,43745,at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum,4,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur
executive,8568233058,dynamic,44133,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo,2,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio
capacity,2764846029,zero defect,13885,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea,3,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel
multimedia,5842683474,superstructure,41141,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet,5,a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla
Quality-focused,7421394362,content-based,34772,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer,5,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices
policy,1671643887,portal,14585,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,4,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est
Self-enabling,2999791348,contingency,44252,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare,4,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci
function,1202834647,projection,33432,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius,3,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit
bottom-line,5274811817,methodology,38248,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,1,in purus eu magna vulputate luctus cum sociis natoque penatibus et
portal,3459133937,capacity,49021,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,2,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id
user-facing,2739293690,Re-engineered,42477,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla,5,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus
real-time,8144220676,Compatible,35620,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,4,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
success,3660753270,structure,31430,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio,3,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit
real-time,7366902756,protocol,27916,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris,1,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo
attitude-oriented,1586940228,Progressive,23236,tristique est et tempus semper est quam pharetra magna ac consequat,3,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque
Exclusive,2774721164,eco-centric,4245,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea,4,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat
attitude,2331082650,frame,33490,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,5,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent
installation,3497899089,6th generation,7634,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo,1,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis
interactive,4357130840,Customer-focused,7014,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim,3,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor
scalable,6213924582,background,29558,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis,3,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy
open system,1641089997,3rd generation,39404,ac tellus semper interdum mauris ullamcorper purus sit amet nulla,3,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque
paradigm,9650756876,Persistent,39291,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,1,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit
infrastructure,2040192077,knowledge base,42903,fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed,5,condimentum curabitur in libero ut massa volutpat convallis morbi odio
core,4342778629,definition,33758,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit,4,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam
productivity,0839216254,database,32566,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,1,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat
Front-line,3641713390,hub,30481,libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh,3,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna
static,0757743676,Optional,17208,sapien cursus vestibulum proin eu mi nulla ac enim in,4,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue
instruction set,1768368961,Focused,43887,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque,2,eget rutrum at lorem integer tincidunt ante vel ipsum praesent
asynchronous,0754501213,Focused,21811,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper,3,mi sit amet lobortis sapien sapien non mi integer ac
content-based,1065036019,Focused,49075,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non,2,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse
Profit-focused,2027089063,reciprocal,42705,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,2,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis
Function-based,5985925471,discrete,23240,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,1,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id
web-enabled,1101994657,Sharable,9480,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,2,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui
exuding,7591975587,tertiary,31656,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac,1,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus
grid-enabled,2950170102,encoding,13659,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit,2,felis eu sapien cursus vestibulum proin eu mi nulla ac enim
neural-net,6631146534,Inverse,44609,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,4,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed
demand-driven,9301384922,policy,30367,eget massa tempor convallis nulla neque libero convallis eget eleifend,5,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum
solution-oriented,5591000320,Advanced,26002,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,5,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero
holistic,7053922278,Reduced,3495,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio,2,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa
heuristic,4302261951,stable,5914,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum,3,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc
intermediate,0218650264,neural-net,3932,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non,4,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien
Re-engineered,1160414742,actuating,48933,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla,1,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id
concept,5551863921,client-server,5677,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet,2,sollicitudin mi sit amet lobortis sapien sapien non mi integer
Team-oriented,0451198506,Triple-buffered,6769,sit amet turpis elementum ligula vehicula consequat morbi a ipsum,5,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum
Persistent,7787206616,needs-based,36047,sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo,1,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque
installation,6473258728,Stand-alone,49154,amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,1,semper rutrum nulla nunc purus phasellus in felis donec semper
knowledge base,1985853396,collaboration,13171,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum,3,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet
encoding,4530689425,Sharable,5539,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,5,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis
Automated,3593726785,Balanced,8068,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,2,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet
encoding,2196467448,definition,1602,sapien placerat ante nulla justo aliquam quis turpis eget elit,4,tristique est et tempus semper est quam pharetra magna ac consequat metus
website,8232396237,context-sensitive,26264,in ante vestibulum ante ipsum primis in faucibus orci luctus et,5,urna pretium nisl ut volutpat sapien arcu sed augue aliquam
mission-critical,8103300608,Self-enabling,44563,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa,5,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum
global,3796842739,software,28819,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus,3,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis
full-range,7154199229,logistical,5875,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique,2,nam nulla integer pede justo lacinia eget tincidunt eget tempus vel
Decentralized,6783182150,multimedia,15104,rutrum nulla nunc purus phasellus in felis donec semper sapien a,2,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue
Organic,1323642471,attitude,36392,tempus vivamus in felis eu sapien cursus vestibulum proin eu,5,curabitur in libero ut massa volutpat convallis morbi odio odio elementum
productivity,5169103468,frame,43290,tincidunt eu felis fusce posuere felis sed lacus morbi sem,2,elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
instruction set,7782740428,support,16003,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh,5,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id
methodical,9165222520,object-oriented,14265,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci,3,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam
4th generation,8863581045,collaboration,24449,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,5,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis
dedicated,0647566966,uniform,17596,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,1,congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus
Stand-alone,5269064340,Right-sized,45141,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,5,vestibulum ante ipsum primis in faucibus orci luctus et ultrices
Self-enabling,1138684325,value-added,18049,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,2,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus
portal,3599143951,encompassing,46609,risus auctor sed tristique in tempus sit amet sem fusce,1,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in
customer loyalty,3064375881,background,28833,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,4,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi
core,8611005112,algorithm,9639,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,3,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut
even-keeled,8932075875,transitional,35184,felis donec semper sapien a libero nam dui proin leo,5,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer
time-frame,6223432712,challenge,21564,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,3,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id
Implemented,8496726967,Phased,18839,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,3,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non
Inverse,2780883200,Visionary,9571,eros viverra eget congue eget semper rutrum nulla nunc purus,3,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla
Fundamental,3098455918,Managed,48292,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum,4,purus phasellus in felis donec semper sapien a libero nam dui
static,3383972240,complexity,16218,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus,4,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi
hybrid,4932372000,static,11560,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae,2,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere
orchestration,9862138076,conglomeration,45500,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc,3,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean
6th generation,9300760718,alliance,47679,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,1,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at
project,5810676847,Optional,33478,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius,2,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices
Expanded,9705496609,context-sensitive,37758,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum,1,donec dapibus duis at velit eu est congue elementum in hac habitasse platea
